X,Y,Z,formation,section
63,0,-926,lowererosion,sectiona
173,0,-927,lowererosion,sectiona
316,0,-927,lowererosion,sectiona
419,0,-927,lowererosion,sectiona
545,0,-929,lowererosion,sectiona
629,0,-901,lowererosion,sectiona
684,0,-878,lowererosion,sectiona
774,0,-836,lowererosion,sectiona
808,0,-811,lowererosion,sectiona
890,0,-775,lowererosion,sectiona
939,0,-760,lowererosion,sectiona
985,0,-744,lowererosion,sectiona
1023,0,-764,lowererosion,sectiona
1056,0,-786,lowererosion,sectiona
1064,0,-789,lowererosion,sectiona
1081,0,-783,lowererosion,sectiona
1110,0,-781,lowererosion,sectiona
1186,0,-797,lowererosion,sectiona
1281,0,-805,lowererosion,sectiona
1353,0,-805,lowererosion,sectiona
1456,0,-809,lowererosion,sectiona
1569,0,-836,lowererosion,sectiona
1659,0,-886,lowererosion,sectiona
1735,0,-914,lowererosion,sectiona
1870,0,-926,lowererosion,sectiona
1934,0,-921,lowererosion,sectiona
2024,0,-899,lowererosion,sectiona
2136,0,-862,lowererosion,sectiona
2164,0,-850,lowererosion,sectiona
