X,Y,Z,formation,section
922,0,-647,middleliassic,sectiona
946,0,-669,middleliassic,sectiona
958,0,-689,middleliassic,sectiona
986,0,-718,middleliassic,sectiona
1024,0,-744,middleliassic,sectiona
1096,0,-782,middleliassic,sectiona
1169,0,-803,middleliassic,sectiona
1260,0,-810,middleliassic,sectiona
1349,0,-807,middleliassic,sectiona
1419,0,-803,middleliassic,sectiona
1503,0,-821,middleliassic,sectiona
1580,0,-844,middleliassic,sectiona
1658,0,-877,middleliassic,sectiona
1740,0,-909,middleliassic,sectiona
1821,0,-913,middleliassic,sectiona
1919,0,-914,middleliassic,sectiona
1982,0,-907,middleliassic,sectiona
2044,0,-882,middleliassic,sectiona
2103,0,-868,middleliassic,sectiona
2158,0,-859,middleliassic,sectiona
