X,Y,Z,formation,section
64,0,-867,topo,sectiona
162,0,-868,topo,sectiona
295,0,-863,topo,sectiona
461,0,-839,topo,sectiona
645,0,-781,topo,sectiona
730,0,-698,topo,sectiona
829,0,-604,topo,sectiona
874,0,-618,topo,sectiona
974,0,-686,topo,sectiona
1035,0,-734,topo,sectiona
1127,0,-661,topo,sectiona
1266,0,-657,topo,sectiona
1424,0,-672,topo,sectiona
1491,0,-678,topo,sectiona
1598,0,-753,topo,sectiona
1635,0,-737,topo,sectiona
1789,0,-716,topo,sectiona
1993,0,-724,topo,sectiona
2184,0,-713,topo,sectiona
1658,0,-721,lowercenomonian,sectiona
1678,0,-730,lowercenomonian,sectiona
1728,0,-743,lowercenomonian,sectiona
1796,0,-755,lowercenomonian,sectiona
1856,0,-758,lowercenomonian,sectiona
1903,0,-758,lowercenomonian,sectiona
1949,0,-758,lowercenomonian,sectiona
1989,0,-747,lowercenomonian,sectiona
2072,0,-736,lowercenomonian,sectiona
2119,0,-730,lowercenomonian,sectiona
2187,0,-718,lowercenomonian,sectiona
1649,0,-730,toarcian,sectiona
1681,0,-750,toarcian,sectiona
1730,0,-763,toarcian,sectiona
1794,0,-783,toarcian,sectiona
1855,0,-786,toarcian,sectiona
1912,0,-784,toarcian,sectiona
1965,0,-772,toarcian,sectiona
2014,0,-764,toarcian,sectiona
2087,0,-754,toarcian,sectiona
2172,0,-746,toarcian,sectiona
1073,0,-649,upperliassic,sectiona
1120,0,-679,upperliassic,sectiona
1176,0,-683,upperliassic,sectiona
1205,0,-693,upperliassic,sectiona
1273,0,-700,upperliassic,sectiona
1365,0,-701,upperliassic,sectiona
1430,0,-702,upperliassic,sectiona
1506,0,-715,upperliassic,sectiona
1542,0,-715,upperliassic,sectiona
1558,0,-715,upperliassic,sectiona
1578,0,-722,upperliassic,sectiona
1589,0,-743,upperliassic,sectiona
1606,0,-766,upperliassic,sectiona
1652,0,-788,upperliassic,sectiona
1705,0,-810,upperliassic,sectiona
1768,0,-822,upperliassic,sectiona
1820,0,-826,upperliassic,sectiona
1863,0,-826,upperliassic,sectiona
1909,0,-825,upperliassic,sectiona
1978,0,-809,upperliassic,sectiona
2037,0,-800,upperliassic,sectiona
2107,0,-791,upperliassic,sectiona
2166,0,-775,upperliassic,sectiona
922,0,-647,middleliassic,sectiona
946,0,-669,middleliassic,sectiona
958,0,-689,middleliassic,sectiona
986,0,-718,middleliassic,sectiona
1024,0,-744,middleliassic,sectiona
1096,0,-782,middleliassic,sectiona
1169,0,-803,middleliassic,sectiona
1260,0,-810,middleliassic,sectiona
1349,0,-807,middleliassic,sectiona
1419,0,-803,middleliassic,sectiona
1503,0,-821,middleliassic,sectiona
1580,0,-844,middleliassic,sectiona
1658,0,-877,middleliassic,sectiona
1740,0,-909,middleliassic,sectiona
1821,0,-913,middleliassic,sectiona
1919,0,-914,middleliassic,sectiona
1982,0,-907,middleliassic,sectiona
2044,0,-882,middleliassic,sectiona
2103,0,-868,middleliassic,sectiona
2158,0,-859,middleliassic,sectiona
692,0,-722,lowerliassic,sectiona
713,0,-748,lowerliassic,sectiona
760,0,-781,lowerliassic,sectiona
803,0,-815,lowerliassic,sectiona
868,0,-838,lowerliassic,sectiona
985,0,-884,lowerliassic,sectiona
1100,0,-925,lowerliassic,sectiona
1230,0,-948,lowerliassic,sectiona
1361,0,-943,lowerliassic,sectiona
1456,0,-947,lowerliassic,sectiona
1544,0,-981,lowerliassic,sectiona
1693,0,-1021,lowerliassic,sectiona
1886,0,-1035,lowerliassic,sectiona
2049,0,-1029,lowerliassic,sectiona
2159,0,-992,lowerliassic,sectiona
320,0,-841,permiantriassic,sectiona
374,0,-849,permiantriassic,sectiona
442,0,-864,permiantriassic,sectiona
491,0,-874,permiantriassic,sectiona
533,0,-887,permiantriassic,sectiona
563,0,-915,permiantriassic,sectiona
590,0,-939,permiantriassic,sectiona
707,0,-993,permiantriassic,sectiona
823,0,-1025,permiantriassic,sectiona
1020,0,-1034,permiantriassic,sectiona
